date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:51	108875/108875	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2008:19:15%20GMT	https://steelthemes-20012418.hs-sites.com/garado	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.html	(from )
13:48:53	143/143	---MCZ	200	added ('OK')	text/plain	date:Fri,%2007%20Feb%202025%2008:19:16%20GMT	https://steelthemes-20012418.hs-sites.com/robots.txt		(from )
13:48:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:17%20GMT	http://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918448/1685592696912/garado/css/themerow.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918448/1685592696912/garado/css/themerow.min.2.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:54	20764/20764	---M--	200	added ('OK')	image/png	etag:%225b9821698f340536930de34695e27aba%22	https://20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/St-fav1.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hubfs/20012418/St-fav1.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:54	3686/3686	---MCZ	200	added ('OK')	text/css	etag:W/%223b970af05501f14b4f94e4b4ff180f5b%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918448/1685592696912/garado/css/themerow.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918448/1685592696912/garado/css/themerow.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:18%20GMT	http://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918456/1685592696903/garado/css/plugins/bootstrap.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918456/1685592696903/garado/css/plugins/bootstrap.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:54	193529/193529	---MCZ	200	added ('OK')	text/css	etag:W/%226d9c6fda1e7087224431cc8068bb998f%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918456/1685592696903/garado/css/plugins/bootstrap.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918456/1685592696903/garado/css/plugins/bootstrap.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:56	25197/25197	---M-Z	200	added ('OK')	text/css	etag:%226599366c-12ea%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.1.0/css/font-awesome.css	H:/Bala/mayulonclothing/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.1.0/css/font-awesome.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:19%20GMT	http://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918445/1685592702252/garado/css/flaticon.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918445/1685592702252/garado/css/flaticon.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:56	4359/4359	---MCZ	200	added ('OK')	text/css	etag:W/%22932ac51fea95e96d3f6fe55b53f76d8e%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918445/1685592702252/garado/css/flaticon.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918445/1685592702252/garado/css/flaticon.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:20%20GMT	http://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/81913634971/1685592700695/garado/css/scss/components/variables.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/81913634971/1685592700695/garado/css/scss/components/variables.min.9.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:57	2815/2815	---MCZ	200	added ('OK')	text/css	etag:W/%22e8faaad5199abed2906a20d9568547a2%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/81913634971/1685592700695/garado/css/scss/components/variables.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/81913634971/1685592700695/garado/css/scss/components/variables.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2008:19:20%20GMT	http://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918447/1685592694112/garado/css/scss/main.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918447/1685592694112/garado/css/scss/main.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:57	31343/31343	---MCZ	200	added ('OK')	text/css	etag:W/%227218c81da46294f3910a404cf5869784%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918447/1685592694112/garado/css/scss/main.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/template_assets/76024918447/1685592694112/garado/css/scss/main.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
